Subject Number,ID,Folder,SampleNumber,QC_AmplificationIssue
5000,1,Card 1.eds,1,N
5000,1,Card 2.eds,1,N
5313,2,Card 1.eds,2,N
5313,2,Card 2.eds,2,N
2169,3,Card 1.eds,3,N
2169,3,Card 2.eds,3,N
4087,4,Card 1.eds,4,N
4087,4,Card 2.eds,4,N
5066,5,Card 3.eds,1,N
5066,5,Card 4.eds,1,N
2950,6,Card 3.eds,2,N
2950,6,Card 4.eds,2,N
4383,7,Card 3.eds,3,N
4383,7,Card 4.eds,3,N
4619,8,Card 3.eds,4,N
4619,8,Card 4.eds,4,N
4819,9,Card 5.eds,1,N
4819,9,Card 6.eds,1,N
3711,10,Card 5.eds,2,N
3711,10,Card 6.eds,2,N
4830,12,Card 5.eds,3,N
4830,12,Card 6.eds,3,N
4413,13,Card 5.eds,4,N
4413,13,Card 6.eds,4,N
4948,14,Card 7.eds,1,N
4948,14,Card 8.eds,1,N
4957,15,Card 7.eds,2,N
4957,15,Card 8.eds,2,N
3265,16,Card 7.eds,3,N
3265,16,Card 8.eds,3,N
3772,17,Card 7.eds,4,N
3772,17,Card 8.eds,4,N
4656,18,Card 9.eds,1,N
4656,18,Card 10.eds,1,N
4419,19,Card 9.eds,2,N
4419,19,Card 10.eds,2,N
4114,20,Card 9.eds,3,N
4114,20,Card 10.eds,3,N
5001,21,Card 9.eds,4,N
5001,21,Card 10.eds,4,N
3618,22,Card 11.eds,1,N
3618,22,Card 12.eds,1,N
4385,23,Card 11.eds,2,N
4385,23,Card 12.eds,2,N
5390,24,Card 11.eds,3,N
5390,24,Card 12.eds,3,N
5019,25,Card 11.eds,4,N
5019,25,Card 12.eds,4,N
4262,26,Card 13.eds,1,N
4262,26,Card 14.eds,1,N
4301,27,Card 13.eds,2,N
4301,27,Card 14.eds,2,Y
5063,28,Card 13.eds,3,N
5063,28,Card 14.eds,3,N
3588,29,Card 13.eds,4,N
3588,29,Card 14.eds,4,N
4989,30,Card 15.eds,1,N
4989,30,Card 16.eds,1,N
5105,31,Card 15.eds,2,N
5105,31,Card 16.eds,2,N
3706,32,Card 15.eds,3,N
3706,32,Card 16.eds,3,N
3410,33,Card 15.eds,4,N
3410,33,Card 16.eds,4,N
4375,34,Card 17.eds,1,N
4375,34,Card 18.eds,1,N
5041,37,Card 17.eds,2,N
5041,37,Card 18.eds,2,N
4359,38,Card 17.eds,3,Y
4359,38,Card 18.eds,3,N
4945,39,Card 17.eds,4,N
4945,39,Card 18.eds,4,N
4357,40,Card 19.eds,1,N
4357,40,Card 20.eds,1,N
5330,41,Card 19.eds,2,N
5330,41,Card 20.eds,2,N
3525,42,Card 19.eds,3,N
3525,42,Card 20.eds,3,N
4284,43,Card 19.eds,4,N
4284,43,Card 20.eds,4,N
5266,44,Card 21.eds,1,N
5266,44,Card 22.eds,1,N
4917,45,Card 21.eds,2,N
4917,45,Card 22.eds,2,N
5046,46,Card 21.eds,3,N
5046,46,Card 22.eds,3,N
2311,47,Card 21.eds,4,N
2311,47,Card 22.eds,4,N
4837,48,Card 23.eds,1,N
4837,48,Card 24.eds,1,N
5287,49,Card 23.eds,2,N
5287,49,Card 24.eds,2,N
4213,50,Card 23.eds,3,N
4213,50,Card 24.eds,3,N
4366,51,Card 23.eds,4,N
4366,51,Card 24.eds,4,N
4955,52,Card 25.eds,1,N
4955,52,Card 26.eds,1,N
2466,53,Card 25.eds,2,N
2466,53,Card 26.eds,2,N
5272,54,Card 25.eds,3,N
5272,54,Card 26.eds,3,N
4345,55,Card 25.eds,4,N
4345,55,Card 26.eds,4,N
4296,56,Card 27.eds,1,N
4296,56,Card 28.eds,1,N
4519,57,Card 27.eds,2,N
4519,57,Card 28.eds,2,N
4639,58,Card 27.eds,3,N
4639,58,Card 28.eds,3,N
3684,59,Card 27.eds,4,N
3684,59,Card 28.eds,4,N
3774,60,Card 29.eds,1,N
3774,60,Card 30.eds,1,N
5057,61,Card 29.eds,2,N
5057,61,Card 30.eds,2,N
3927,62,Card 29.eds,3,N
3927,62,Card 30.eds,3,N
4946,63,Card 29.eds,4,N
4946,63,Card 30.eds,4,N
3683,64,Card 31.eds,1,N
3683,64,Card 32.eds,1,N
4990,65,Card 31.eds,2,N
4990,65,Card 32.eds,2,N
3651,66,Card 31.eds,3,N
3651,66,Card 32.eds,3,N
2316,67,Card 31.eds,4,N
2316,67,Card 32.eds,4,N
4242,68,Card 33.eds,1,N
4242,68,Card 34.eds,1,N
4404,69,Card 33.eds,2,N
4404,69,Card 34.eds,2,N
4664,70,Card 33.eds,3,N
4664,70,Card 34.eds,3,N
5376,71,Card 33.eds,4,N
5376,71,Card 34.eds,4,N
4405,72,Card 35.eds,1,N
4405,72,Card 36.eds,1,N
5006,73,Card 35.eds,2,N
5006,73,Card 36.eds,2,N
5162,74,Card 35.eds,3,N
5162,74,Card 36.eds,3,N
4463,75,Card 35.eds,4,N
4463,75,Card 36.eds,4,N